platform,post_type,topic,day_of_week,is_weekend,post_hour,followers,hashtags_count,caption_length,sentiment,likes,comments,shares,engagement_rate
Facebook,Carousel,Entertainment,Wednesday,0,16,350848,24,41,Negative,3172,640,500,1.229
YouTube,Video,Fitness,Sunday,1,1,272816,6,453,Neutral,5037,1048,918,2.567
TikTok,Carousel,Entertainment,Thursday,0,21,154566,5,537,Negative,5369,795,1325,4.845
LinkedIn,Text,Tech,Saturday,1,1,30151,2,343,Negative,263,19,49,1.099
Twitter,Image,Fashion,Thursday,0,7,335690,12,45,Negative,5150,767,1273,2.142
TikTok,Reel,Fitness,Friday,0,5,349299,15,305,Positive,8753,1506,112,2.969
LinkedIn,Video,Travel,Thursday,0,23,239227,28,240,Neutral,1809,348,281,1.019
Twitter,Story,Tech,Tuesday,0,3,358310,14,276,Positive,3942,401,1257,1.563
Twitter,Reel,Business,Sunday,1,20,389668,5,41,Positive,12668,1055,1571,3.925
Facebook,Video,Tech,Friday,0,5,256483,21,197,Positive,4170,360,992,2.153
Instagram,Text,Entertainment,Saturday,1,15,24313,1,599,Neutral,386,68,60,2.114
LinkedIn,Image,Fashion,Sunday,1,2,435258,10,37,Neutral,7714,1064,1969,2.469
YouTube,Image,Travel,Tuesday,0,9,233635,20,549,Negative,3720,390,546,1.993
Instagram,Story,Business,Monday,0,14,336382,7,315,Positive,9062,992,1968,3.574
YouTube,Reel,Travel,Friday,0,17,455503,18,355,Neutral,11714,1103,1408,3.123
TikTok,Image,Business,Wednesday,0,20,181650,14,560,Negative,4899,852,414,3.394
Facebook,Video,Fitness,Thursday,0,19,311186,29,138,Negative,1986,217,184,0.767
LinkedIn,Video,Entertainment,Tuesday,0,12,10337,8,590,Positive,226,21,38,2.757
Instagram,Carousel,Travel,Wednesday,0,7,442582,28,173,Negative,5072,752,385,1.403
TikTok,Video,Entertainment,Wednesday,0,6,30051,19,215,Positive,1555,219,159,6.433
TikTok,Video,Travel,Wednesday,0,23,270791,23,275,Neutral,7196,1137,1020,3.454
Twitter,Text,Entertainment,Saturday,1,14,176223,5,364,Neutral,2301,379,185,1.626
Instagram,Video,Business,Friday,0,21,18376,0,200,Negative,481,36,85,3.274
YouTube,Story,Tech,Thursday,0,10,231321,22,477,Negative,1459,105,518,0.9
Twitter,Reel,Fitness,Monday,0,11,467828,14,22,Negative,10165,695,1771,2.7
YouTube,Reel,Entertainment,Thursday,0,19,83852,9,403,Negative,1845,301,350,2.977
TikTok,Video,Tech,Tuesday,0,17,146489,27,397,Neutral,2352,432,226,2.055
TikTok,Reel,Business,Wednesday,0,4,95069,10,325,Negative,2244,260,627,3.293
TikTok,Story,Tech,Wednesday,0,12,62923,13,371,Positive,1838,335,440,4.152
Facebook,Video,Entertainment,Monday,0,5,115490,22,451,Neutral,1298,227,323,1.6
Twitter,Reel,Business,Wednesday,0,18,286131,29,543,Positive,2342,478,416,1.131
Twitter,Carousel,Fashion,Tuesday,0,0,390366,27,138,Negative,2415,333,687,0.88
Twitter,Reel,Business,Saturday,1,19,345308,20,291,Negative,5354,495,1589,2.154
Instagram,Carousel,Tech,Sunday,1,22,385758,3,341,Negative,10711,1729,1224,3.542
LinkedIn,Reel,Travel,Monday,0,0,357942,3,213,Negative,5384,934,766,1.979
Instagram,Image,Entertainment,Friday,0,15,191778,21,584,Positive,5433,774,206,3.344
TikTok,Carousel,Fashion,Friday,0,1,450172,15,311,Negative,6414,1065,331,1.735
TikTok,Video,Fashion,Wednesday,0,8,86596,4,359,Neutral,2783,336,735,4.45
YouTube,Video,Food,Thursday,0,8,350037,21,124,Negative,4842,756,752,1.814
TikTok,Video,Food,Saturday,1,12,55898,29,255,Negative,526,53,109,1.231
Twitter,Carousel,Tech,Wednesday,0,22,382911,2,379,Neutral,6421,806,1285,2.223
YouTube,Image,Travel,Monday,0,11,44021,25,262,Positive,598,57,117,1.753
Twitter,Reel,Fashion,Wednesday,0,9,108482,10,464,Neutral,2863,234,480,3.297
Facebook,Text,Tech,Tuesday,0,2,195943,12,90,Neutral,1798,121,340,1.153
YouTube,Reel,Fashion,Wednesday,0,21,347387,22,100,Negative,7152,1112,1227,2.732
Twitter,Reel,Tech,Tuesday,0,7,23248,7,210,Neutral,572,98,40,3.053
Instagram,Image,Entertainment,Tuesday,0,11,129048,4,197,Neutral,3676,403,866,3.832
Twitter,Image,Entertainment,Sunday,1,2,167150,29,491,Neutral,620,70,61,0.449
TikTok,Carousel,Food,Monday,0,6,365645,10,522,Positive,12382,738,1539,4.009
Facebook,Carousel,Entertainment,Friday,0,13,480785,5,288,Positive,9171,1125,2027,2.563
Twitter,Video,Travel,Saturday,1,21,307276,21,308,Positive,7523,719,958,2.994
Instagram,Reel,Entertainment,Friday,0,7,253998,6,183,Neutral,10734,1403,921,5.141
TikTok,Text,Fashion,Sunday,1,13,168471,24,323,Neutral,1843,336,203,1.414
Twitter,Reel,Fashion,Monday,0,21,411411,2,426,Negative,7371,1040,1924,2.512
Facebook,Image,Business,Wednesday,0,8,54068,16,436,Negative,580,83,46,1.311
Facebook,Reel,Fashion,Tuesday,0,7,65068,12,581,Positive,2190,347,340,4.422
LinkedIn,Video,Business,Friday,0,1,100990,29,350,Positive,565,50,158,0.765
TikTok,Carousel,Food,Friday,0,21,134405,16,210,Neutral,4762,508,728,4.463
YouTube,Carousel,Food,Sunday,1,2,231067,28,51,Negative,1223,98,276,0.691
Twitter,Reel,Travel,Wednesday,0,5,473299,7,415,Positive,6339,836,1714,1.878
Instagram,Video,Business,Tuesday,0,3,325371,14,484,Positive,8819,1443,143,3.198
TikTok,Video,Tech,Sunday,1,16,192084,25,335,Positive,4753,633,1066,3.359
LinkedIn,Carousel,Business,Friday,0,8,106154,4,554,Neutral,1684,207,277,2.042
TikTok,Carousel,Business,Saturday,1,16,324378,28,196,Negative,2964,263,477,1.142
Instagram,Video,Business,Thursday,0,14,126941,23,41,Negative,2423,274,681,2.661
Facebook,Video,Entertainment,Thursday,0,0,488075,20,383,Neutral,8941,1584,501,2.259
TikTok,Video,Business,Wednesday,0,7,239124,7,81,Positive,12243,1233,1881,6.422
TikTok,Carousel,Travel,Saturday,1,0,275618,25,59,Neutral,6690,1064,889,3.136
Twitter,Carousel,Travel,Tuesday,0,1,451797,26,424,Neutral,2257,157,482,0.641
TikTok,Carousel,Food,Sunday,1,11,153020,9,266,Positive,8442,629,941,6.543
YouTube,Reel,Business,Tuesday,0,6,236166,18,366,Negative,7895,766,776,3.996
Twitter,Video,Food,Thursday,0,2,266208,1,451,Negative,2611,510,521,1.368
YouTube,Story,Fitness,Wednesday,0,9,135901,12,235,Positive,2974,283,680,2.897
Facebook,Reel,Tech,Friday,0,10,27791,4,370,Positive,670,106,86,3.103
Facebook,Video,Food,Friday,0,23,142231,17,328,Positive,1662,132,189,1.394
TikTok,Video,Fashion,Sunday,1,15,56628,17,352,Negative,2279,308,184,4.894
LinkedIn,Video,Travel,Saturday,1,9,338002,16,424,Neutral,9043,1297,1591,3.53
Instagram,Video,Travel,Tuesday,0,11,4081,20,234,Positive,142,19,9,4.158
TikTok,Carousel,Business,Tuesday,0,2,158588,28,307,Positive,1131,117,246,0.942
Facebook,Image,Travel,Sunday,1,9,442162,6,358,Positive,6334,566,1651,1.934
TikTok,Image,Fashion,Thursday,0,13,284524,6,92,Neutral,9690,1697,856,4.303
Instagram,Carousel,Travel,Monday,0,0,335804,6,134,Negative,7648,1086,1417,3.023
TikTok,Reel,Tech,Saturday,1,22,334423,28,62,Positive,9804,880,1673,3.695
TikTok,Video,Business,Friday,0,12,149515,2,126,Positive,6548,785,1266,5.751
TikTok,Story,Business,Monday,0,18,316343,0,268,Neutral,10794,747,1632,4.164
LinkedIn,Carousel,Fashion,Saturday,1,6,110970,4,563,Negative,2257,261,159,2.412
Twitter,Story,Fashion,Friday,0,20,317932,23,554,Neutral,3432,428,775,1.458
TikTok,Video,Tech,Friday,0,8,341696,17,460,Positive,8483,691,1750,3.197
Facebook,Text,Food,Sunday,1,22,438132,28,339,Positive,2055,240,246,0.58
TikTok,Reel,Tech,Thursday,0,12,459806,6,129,Negative,14693,2313,3294,4.415
LinkedIn,Image,Entertainment,Thursday,0,15,12478,12,221,Negative,265,46,13,2.593
Twitter,Story,Tech,Friday,0,4,149919,17,462,Negative,1298,198,153,1.1
LinkedIn,Carousel,Fitness,Tuesday,0,23,273783,2,546,Neutral,4530,629,1111,2.29
LinkedIn,Carousel,Travel,Tuesday,0,4,161118,28,577,Negative,643,98,34,0.481
Instagram,Text,Fashion,Saturday,1,0,309479,24,239,Neutral,2376,243,491,1.005
Instagram,Text,Business,Tuesday,0,10,427193,4,297,Positive,8804,1416,1899,2.837
Facebook,Image,Tech,Thursday,0,20,129387,26,310,Neutral,1024,71,309,1.085
Instagram,Story,Entertainment,Tuesday,0,22,446741,13,43,Negative,15593,1092,2382,4.268
Twitter,Text,Business,Tuesday,0,20,441067,10,78,Neutral,5319,712,298,1.435
TikTok,Story,Fitness,Friday,0,13,457061,29,36,Negative,3884,355,894,1.123
LinkedIn,Carousel,Entertainment,Saturday,1,22,37231,16,445,Negative,839,140,200,3.167
Twitter,Text,Food,Thursday,0,11,146930,7,142,Positive,1370,218,328,1.304
YouTube,Carousel,Fashion,Monday,0,11,62491,25,423,Positive,1070,76,194,2.144
LinkedIn,Story,Fashion,Tuesday,0,4,60596,22,231,Positive,706,83,145,1.541
Instagram,Reel,Entertainment,Tuesday,0,18,27045,5,478,Negative,854,124,140,4.134
TikTok,Story,Food,Sunday,1,7,220278,20,78,Negative,4995,808,852,3.021
LinkedIn,Text,Business,Wednesday,0,4,44068,19,201,Positive,486,83,62,1.433
LinkedIn,Reel,Food,Wednesday,0,8,148234,8,130,Positive,5737,598,868,4.859
LinkedIn,Carousel,Entertainment,Monday,0,14,490691,13,267,Neutral,11208,1918,1222,2.924
LinkedIn,Carousel,Entertainment,Thursday,0,6,441991,26,341,Neutral,3296,389,863,1.029
Instagram,Reel,Food,Sunday,1,8,468575,5,109,Negative,14701,963,3337,4.055
LinkedIn,Image,Travel,Wednesday,0,7,18799,22,403,Negative,205,30,32,1.42
TikTok,Reel,Business,Friday,0,14,330624,25,579,Positive,5951,564,1096,2.302
Facebook,Image,Fashion,Tuesday,0,17,317123,29,35,Positive,1686,147,520,0.742
LinkedIn,Text,Tech,Tuesday,0,16,66815,10,60,Neutral,870,91,242,1.8
Instagram,Carousel,Food,Saturday,1,3,453137,8,571,Neutral,7277,1240,818,2.06
Twitter,Carousel,Fitness,Monday,0,8,202486,28,392,Negative,855,163,136,0.57
Twitter,Carousel,Tech,Thursday,0,15,488346,14,552,Neutral,7468,1374,559,1.925
YouTube,Carousel,Food,Wednesday,0,5,57431,17,426,Neutral,1204,128,261,2.774
Facebook,Carousel,Entertainment,Monday,0,1,325240,15,433,Positive,4571,596,1068,1.917
Facebook,Carousel,Tech,Thursday,0,7,65802,15,103,Positive,1915,312,171,3.644
Twitter,Text,Tech,Sunday,1,16,474986,19,311,Negative,3202,345,671,0.888
YouTube,Reel,Food,Monday,0,15,303995,13,225,Negative,5009,613,1300,2.277
YouTube,Text,Tech,Saturday,1,3,38291,12,501,Positive,595,53,77,1.893
Instagram,Text,Tech,Thursday,0,16,107803,12,35,Negative,1374,193,229,1.666
Facebook,Story,Fashion,Saturday,1,4,179959,20,20,Neutral,1792,248,100,1.189
TikTok,Story,Tech,Monday,0,17,6923,25,338,Neutral,82,9,21,1.625
Instagram,Image,Business,Sunday,1,13,4852,17,582,Negative,107,7,15,2.653
YouTube,Reel,Tech,Monday,0,3,462777,21,597,Negative,7444,1119,489,1.956
Facebook,Video,Travel,Sunday,1,8,490601,12,360,Positive,13818,2156,3336,3.936
YouTube,Video,Fitness,Friday,0,19,268337,23,263,Positive,9704,895,1846,4.638
Facebook,Reel,Fitness,Wednesday,0,10,451411,12,171,Negative,12548,1281,1894,3.483
Twitter,Image,Fitness,Monday,0,16,327785,13,594,Negative,2234,420,231,0.88
LinkedIn,Story,Food,Friday,0,17,14512,1,118,Positive,204,30,35,1.855
Instagram,Reel,Entertainment,Monday,0,0,357389,8,84,Negative,7971,1038,462,2.65
LinkedIn,Story,Tech,Friday,0,22,9557,22,309,Neutral,162,23,16,2.108
LinkedIn,Reel,Tech,Saturday,1,8,408345,2,241,Neutral,10864,1870,125,3.149
TikTok,Story,Business,Tuesday,0,19,183801,6,302,Positive,6194,629,667,4.075
YouTube,Image,Tech,Tuesday,0,11,71058,24,542,Negative,738,70,89,1.263
LinkedIn,Story,Fashion,Tuesday,0,13,129639,27,169,Negative,877,95,112,0.836
Twitter,Image,Fashion,Tuesday,0,8,341834,12,527,Neutral,3506,572,321,1.287
Twitter,Video,Tech,Monday,0,20,423542,12,134,Negative,6919,516,871,1.961
Twitter,Image,Tech,Tuesday,0,2,285576,15,200,Negative,2397,214,416,1.06
TikTok,Carousel,Fitness,Friday,0,21,80661,23,12,Negative,2260,231,687,3.94
Facebook,Reel,Fitness,Wednesday,0,4,450127,14,410,Negative,5717,825,719,1.613
Facebook,Video,Tech,Saturday,1,21,395429,5,516,Negative,6569,1048,1565,2.322
Twitter,Reel,Entertainment,Saturday,1,0,205230,13,532,Negative,2466,255,206,1.426
Instagram,Text,Tech,Saturday,1,0,277452,7,108,Negative,5205,507,819,2.354
Instagram,Text,Fitness,Thursday,0,2,481983,21,462,Neutral,3560,570,415,0.943
Instagram,Story,Business,Wednesday,0,13,189007,4,93,Negative,2452,179,730,1.778
TikTok,Carousel,Travel,Sunday,1,6,13374,18,380,Positive,379,60,48,3.641
TikTok,Carousel,Travel,Tuesday,0,14,73287,4,424,Neutral,1729,163,409,3.14
TikTok,Story,Tech,Thursday,0,19,300358,30,100,Neutral,1767,309,129,0.734
Twitter,Text,Fashion,Thursday,0,0,498846,19,75,Negative,3479,402,519,0.882
TikTok,Text,Business,Saturday,1,12,370081,4,53,Positive,7539,1111,1079,2.629
Instagram,Video,Food,Thursday,0,17,309184,29,427,Neutral,2619,220,710,1.148
YouTube,Video,Tech,Saturday,1,10,161839,17,372,Positive,4910,475,919,3.895
LinkedIn,Video,Business,Sunday,1,22,219971,18,80,Negative,7478,1167,1076,4.419
YouTube,Video,Fitness,Wednesday,0,15,19667,1,305,Negative,286,36,23,1.753
Instagram,Video,Tech,Sunday,1,0,185878,5,479,Positive,7757,1181,361,5.003
Twitter,Reel,Tech,Tuesday,0,12,311922,25,150,Negative,3435,449,336,1.353
TikTok,Image,Tech,Sunday,1,9,452911,14,367,Neutral,10678,1527,2071,3.152
Twitter,Text,Tech,Tuesday,0,3,461250,19,182,Negative,2142,412,481,0.658
Twitter,Story,Fitness,Saturday,1,22,410685,30,163,Negative,1471,162,121,0.427
Instagram,Reel,Tech,Wednesday,0,5,11238,13,241,Positive,415,68,6,4.355
Twitter,Carousel,Fitness,Sunday,1,2,405687,11,217,Positive,7628,925,2056,2.615
Facebook,Image,Fashion,Monday,0,5,109699,24,302,Neutral,470,49,67,0.534
Facebook,Story,Entertainment,Thursday,0,19,308291,2,131,Positive,4874,817,691,2.07
TikTok,Image,Business,Sunday,1,14,473221,14,240,Positive,21530,1525,6753,6.299
LinkedIn,Reel,Food,Monday,0,19,444034,26,377,Negative,6878,544,673,1.823
LinkedIn,Reel,Travel,Tuesday,0,11,332373,7,238,Negative,9071,617,1111,3.249
Twitter,Video,Tech,Monday,0,2,149989,9,397,Neutral,2647,316,161,2.083
YouTube,Reel,Tech,Wednesday,0,9,260681,14,78,Positive,6023,942,1382,3.202
Instagram,Video,Travel,Wednesday,0,4,352001,2,91,Positive,9743,643,2205,3.577
Twitter,Video,Tech,Friday,0,13,257348,2,520,Negative,4297,341,512,2.001
Instagram,Reel,Fitness,Tuesday,0,6,202521,7,282,Positive,8112,812,1200,4.999
Twitter,Story,Food,Tuesday,0,23,201719,27,369,Positive,1783,185,362,1.155
YouTube,Video,Tech,Tuesday,0,9,300199,6,446,Neutral,8228,632,1722,3.525
Twitter,Story,Travel,Sunday,1,7,18374,22,96,Neutral,119,11,38,0.912
YouTube,Story,Travel,Sunday,1,23,499077,13,583,Neutral,10562,1797,981,2.673
Twitter,Reel,Business,Tuesday,0,12,51481,23,260,Neutral,768,111,47,1.798
TikTok,Image,Fashion,Tuesday,0,4,492270,10,534,Negative,8472,963,2660,2.457
Twitter,Video,Travel,Monday,0,11,18170,27,255,Neutral,176,19,48,1.338
Facebook,Reel,Business,Sunday,1,6,256553,11,249,Negative,5307,396,1121,2.66
TikTok,Story,Fashion,Friday,0,17,209082,24,364,Neutral,4223,457,706,2.576
YouTube,Reel,Business,Saturday,1,13,287144,25,122,Neutral,6685,799,1412,3.098
Facebook,Carousel,Business,Wednesday,0,17,217068,13,369,Neutral,3110,620,687,2.035
TikTok,Video,Travel,Friday,0,22,448712,20,590,Negative,13350,2045,1055,3.666
Facebook,Story,Entertainment,Monday,0,17,8824,3,390,Negative,102,14,22,1.567
TikTok,Video,Entertainment,Friday,0,8,492825,15,51,Positive,21971,1751,3856,5.596
TikTok,Carousel,Fashion,Friday,0,4,344873,11,421,Negative,6234,919,800,2.306
Twitter,Story,Entertainment,Wednesday,0,12,389414,29,29,Negative,1185,223,142,0.398
TikTok,Text,Tech,Friday,0,10,70333,28,70,Negative,377,28,73,0.679
Facebook,Video,Tech,Friday,0,7,33059,24,177,Positive,358,60,27,1.346
Instagram,Image,Tech,Thursday,0,19,198813,29,189,Negative,1456,126,271,0.932
Instagram,Carousel,Food,Tuesday,0,21,161658,30,12,Positive,907,139,111,0.716
Twitter,Story,Entertainment,Monday,0,9,391587,23,20,Positive,3333,298,723,1.112
YouTube,Carousel,Fitness,Sunday,1,16,448332,18,475,Negative,5546,798,910,1.618
Instagram,Reel,Fitness,Tuesday,0,23,214017,6,278,Positive,6500,620,1282,3.926
Twitter,Video,Tech,Wednesday,0,0,384292,25,127,Negative,3729,506,622,1.264
TikTok,Reel,Travel,Friday,0,8,30250,6,263,Neutral,1408,202,228,6.076
Facebook,Reel,Food,Tuesday,0,17,371245,5,418,Positive,8501,1300,1819,3.13
TikTok,Text,Travel,Wednesday,0,11,50118,27,443,Positive,404,59,36,0.996
Facebook,Reel,Fashion,Friday,0,19,334127,3,180,Negative,6194,490,1920,2.575
TikTok,Text,Fashion,Friday,0,11,191383,4,108,Negative,3692,531,192,2.307
LinkedIn,Carousel,Entertainment,Friday,0,1,207924,15,576,Neutral,2962,244,526,1.795
LinkedIn,Reel,Travel,Monday,0,10,138538,18,382,Negative,2701,449,668,2.756
Facebook,Story,Food,Thursday,0,9,201919,1,589,Positive,3339,261,580,2.07
Twitter,Story,Tech,Thursday,0,20,437271,11,190,Neutral,6688,869,1311,2.028
YouTube,Video,Business,Friday,0,3,404561,6,75,Positive,6898,729,590,2.031
Instagram,Reel,Travel,Tuesday,0,3,170488,9,235,Neutral,4360,761,67,3.043
TikTok,Image,Food,Tuesday,0,3,147243,5,203,Positive,3828,523,278,3.144
Twitter,Text,Fitness,Saturday,1,13,254803,20,434,Neutral,1891,142,375,0.945
TikTok,Text,Tech,Friday,0,23,342573,14,432,Neutral,5766,826,290,2.009
LinkedIn,Carousel,Travel,Saturday,1,14,91580,29,52,Neutral,705,61,118,0.965
Twitter,Story,Entertainment,Tuesday,0,19,363241,0,356,Neutral,6631,627,719,2.196
Facebook,Story,Travel,Sunday,1,20,474370,24,212,Neutral,5042,612,1310,1.468
LinkedIn,Image,Tech,Tuesday,0,14,422355,28,372,Neutral,2770,423,122,0.785
Instagram,Video,Fashion,Friday,0,14,274363,15,240,Positive,8207,1483,579,3.743
LinkedIn,Video,Tech,Tuesday,0,5,160282,21,327,Positive,2755,526,414,2.305
Instagram,Story,Travel,Sunday,1,23,162086,13,432,Neutral,4660,368,457,3.384
LinkedIn,Text,Food,Wednesday,0,18,371073,18,183,Negative,5012,350,879,1.682
LinkedIn,Reel,Tech,Saturday,1,20,227697,28,127,Negative,3353,533,124,1.761
Instagram,Reel,Fitness,Wednesday,0,23,53691,16,426,Neutral,1496,168,470,3.975
TikTok,Reel,Fashion,Saturday,1,8,338984,17,568,Negative,10936,1513,1521,4.121
Twitter,Image,Food,Thursday,0,3,69461,30,271,Negative,169,31,10,0.302
TikTok,Image,Entertainment,Monday,0,20,493457,15,598,Neutral,15954,1560,5210,4.605
Instagram,Carousel,Tech,Tuesday,0,11,208959,5,119,Positive,4482,482,540,2.634
Facebook,Carousel,Fashion,Friday,0,23,171327,21,493,Neutral,2746,471,225,2.009
Twitter,Reel,Food,Tuesday,0,16,28085,21,593,Neutral,400,62,78,1.922
Facebook,Image,Travel,Tuesday,0,6,84277,7,186,Positive,2068,370,136,3.054
Facebook,Carousel,Fashion,Thursday,0,8,473875,22,97,Negative,5576,877,1295,1.635
LinkedIn,Video,Entertainment,Tuesday,0,14,268789,1,401,Negative,3103,303,362,1.402
Instagram,Video,Tech,Monday,0,9,450996,9,522,Positive,17824,2803,849,4.762
TikTok,Video,Entertainment,Friday,0,6,477981,26,59,Neutral,10265,1673,1345,2.779
Instagram,Video,Travel,Friday,0,5,24942,19,388,Positive,593,110,61,3.062
Facebook,Text,Tech,Saturday,1,15,190702,18,524,Positive,2516,323,470,1.735
LinkedIn,Carousel,Tech,Sunday,1,0,419236,19,28,Positive,12714,1696,2502,4.034
TikTok,Carousel,Tech,Monday,0,2,248086,5,314,Neutral,6520,646,681,3.163
Facebook,Carousel,Food,Wednesday,0,1,254682,29,55,Positive,1159,119,276,0.61
Facebook,Reel,Food,Tuesday,0,17,285262,9,114,Positive,10171,2002,1203,4.689
YouTube,Story,Fitness,Sunday,1,0,351130,24,296,Neutral,6422,1273,925,2.455
YouTube,Text,Food,Thursday,0,10,469407,30,203,Neutral,1762,227,217,0.47
LinkedIn,Text,Business,Monday,0,2,443522,7,60,Positive,5221,924,206,1.432
Twitter,Reel,Food,Friday,0,14,312732,19,482,Neutral,5450,644,1427,2.405
Twitter,Reel,Fashion,Monday,0,0,288698,1,129,Positive,6417,1174,1102,3.011
LinkedIn,Image,Fashion,Tuesday,0,0,180817,19,523,Negative,1984,315,473,1.533
LinkedIn,Story,Food,Saturday,1,9,58605,13,114,Neutral,1505,253,321,3.548
Facebook,Image,Business,Thursday,0,16,354650,2,316,Negative,3266,523,502,1.21
Instagram,Carousel,Fashion,Saturday,1,2,1788,20,438,Positive,51,7,4,3.484
Instagram,Text,Fashion,Thursday,0,11,349237,30,293,Negative,987,171,106,0.362
YouTube,Carousel,Entertainment,Saturday,1,19,248712,2,256,Neutral,5230,659,1498,2.97
Twitter,Video,Fitness,Thursday,0,15,393345,27,452,Positive,3488,593,313,1.117
Twitter,Story,Fashion,Monday,0,18,474641,26,16,Negative,2908,243,399,0.748
Twitter,Image,Entertainment,Monday,0,7,276717,16,497,Positive,4405,406,992,2.097
TikTok,Video,Fashion,Saturday,1,22,286524,27,417,Positive,6821,1127,1310,3.231
Instagram,Story,Fashion,Monday,0,3,243942,9,461,Negative,2428,373,180,1.222
Instagram,Reel,Travel,Wednesday,0,14,186783,22,258,Positive,6848,1365,1520,5.211
Facebook,Image,Fitness,Monday,0,10,44893,21,236,Neutral,792,75,96,2.145
Twitter,Reel,Fashion,Wednesday,0,0,15945,17,347,Positive,501,34,76,3.833
TikTok,Story,Business,Friday,0,22,361642,25,388,Positive,7844,948,622,2.603
Twitter,Image,Fashion,Tuesday,0,16,457532,27,555,Positive,2768,534,578,0.848
Twitter,Carousel,Business,Thursday,0,5,27400,24,515,Positive,245,50,47,1.25
YouTube,Carousel,Tech,Sunday,1,1,163914,18,41,Neutral,2912,476,116,2.138
Instagram,Image,Travel,Monday,0,16,304298,30,99,Neutral,1591,204,268,0.678
LinkedIn,Video,Fitness,Monday,0,13,352536,17,568,Positive,8130,1461,1123,3.039
LinkedIn,Video,Fashion,Tuesday,0,1,367774,19,239,Neutral,4229,384,768,1.463
Twitter,Video,Fitness,Saturday,1,23,347271,5,352,Positive,7232,1450,1521,2.938
TikTok,Carousel,Fitness,Wednesday,0,17,42389,9,43,Neutral,1608,215,196,4.764
Facebook,Carousel,Fitness,Friday,0,11,127314,28,71,Negative,797,84,66,0.744
YouTube,Video,Food,Monday,0,5,234887,15,251,Negative,4228,571,477,2.246
Facebook,Video,Business,Saturday,1,6,32356,15,433,Negative,737,123,97,2.957
LinkedIn,Video,Business,Monday,0,10,171920,25,465,Positive,2396,210,232,1.651
LinkedIn,Reel,Food,Friday,0,1,192807,10,537,Positive,3997,299,680,2.581
YouTube,Video,Business,Tuesday,0,8,489059,8,126,Negative,9228,1606,2190,2.663
Twitter,Story,Entertainment,Sunday,1,5,158906,0,129,Positive,1394,253,95,1.096
Facebook,Text,Business,Wednesday,0,2,485699,7,329,Negative,2355,378,589,0.684
Instagram,Reel,Business,Tuesday,0,3,350278,15,332,Neutral,7417,639,1885,2.838
Twitter,Text,Business,Wednesday,0,8,346289,22,31,Positive,3446,497,406,1.256
TikTok,Video,Business,Monday,0,9,409981,10,273,Negative,13988,1178,3935,4.659
Instagram,Text,Food,Tuesday,0,8,421235,13,539,Neutral,4858,553,1472,1.634
YouTube,Video,Business,Friday,0,16,111611,6,106,Negative,3411,229,663,3.855
LinkedIn,Image,Fashion,Wednesday,0,12,210746,25,493,Neutral,2287,304,488,1.461
Instagram,Video,Food,Wednesday,0,4,264351,16,273,Positive,5793,610,1025,2.81
Facebook,Video,Entertainment,Saturday,1,23,488392,4,319,Negative,9660,781,2628,2.676
LinkedIn,Image,Fashion,Monday,0,17,20783,18,388,Positive,427,43,62,2.559
Facebook,Image,Business,Wednesday,0,11,238654,10,426,Neutral,3919,539,239,1.968
Instagram,Story,Food,Tuesday,0,1,107520,26,386,Neutral,762,84,223,0.994
